Product Name,Price(in Rs),Ratings,Picture
Apple iPhone 11 Pro Max (512GB) - Space Grey,"1,41,900",4.5 out of 5 stars,
Apple iPhone 11 Pro Max (512GB) - Gold,"1,41,900",4.5 out of 5 stars,
Apple iPhone Xs (512GB) - Space Grey,"1,34,900",4.3 out of 5 stars,
Apple iPhone 11 Pro (512GB) - Gold,"1,31,900",4.5 out of 5 stars,
Apple iPhone 11 Pro Max (256GB) - Space Grey,"1,23,900",4.5 out of 5 stars,
Apple iPhone 11 Pro Max (256GB) - Gold,"1,23,900",4.5 out of 5 stars,
Apple iPhone 11 Pro (256GB) - Midnight Green,"1,13,900",4.5 out of 5 stars,
Apple iPhone 11 Pro (256GB) - Space Grey,"1,13,900",4.5 out of 5 stars,
Apple iPhone 11 Pro Max (64GB) - Space Grey,"1,09,900",4.5 out of 5 stars,
Apple iPhone 11 Pro Max (64GB) - Gold,"1,09,900",4.5 out of 5 stars,
Apple iPhone Xs (256GB) - Space Grey,"1,03,900",4.3 out of 5 stars,
Apple iPhone Xs (256GB) - Gold,"1,03,900",4.3 out of 5 stars,
Apple iPhone Xs (256GB) - Silver,"1,03,900",4.3 out of 5 stars,
Apple iPhone 11 Pro (64GB) - Silver,"99,900",4.5 out of 5 stars,
Apple iPhone 11 Pro (64GB) - Midnight Green,"99,900",4.5 out of 5 stars,
Apple iPhone Xs Max (256GB) - Gold,"99,900",4.4 out of 5 stars,
Apple iPhone 11 Pro (64GB) - Gold,"93,900",4.5 out of 5 stars,
Apple iPhone 11 Pro (64GB) - Space Grey,"93,900",4.5 out of 5 stars,
Apple iPhone Xs (512GB) - Silver,"79,900",4.3 out of 5 stars,
Apple iPhone Xs (512GB) - Gold,"79,900",4.3 out of 5 stars,
Apple iPhone X (64GB) - Space Grey,"69,999",4.4 out of 5 stars,
Apple iPhone 11 (128GB) - Black,"69,900",4.6 out of 5 stars,
Apple iPhone 11 (128GB) - White,"69,900",4.6 out of 5 stars,
Apple iPhone 11 (128GB) - Green,"69,900",4.6 out of 5 stars,
Apple iPhone XR (128GB) - White,"53,900",4.5 out of 5 stars,
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","29,990",4.0 out of 5 stars,
Apple iPhone XR (64GB) - Black,"48,900",4.5 out of 5 stars,
